Art. Nr.	Beschreibung	Lieferant (Haupt)	Neue LP
2014	Cambozola Finesse 2,2kg	Privat	VB
2015	Ofenkäse Mild	Privat	VB
2016	Ofenkäse Würzig	Privat	VB
2018	Ofenkäse Kräuter	Privat	VB
2019	Fiorella di Tomino	Privat	VB
2026	Montagnolo mit Blauschimmel	Privat	03-01
2059	Goldsteig Emmentaler	Privat	VB
2088	Cambozola SB	Privat	VB
2099	Illertaler	Privat	03-01
2181	Rsport 100g  Alpenmilch 30%	Privat	VB
2182	Rsport 100g Haselnuss	Privat	VB
2183	RSport 100g Voll-Nuss Nussklasse	Privat	VB
2184	Rsport 100g Joghurt	Privat	VB
2185	Rsport 100g Knusper Flakes	Privat	VB
2186	Rsport 100g Knusperkeks	Privat	VB
2187	Rsport 100g Marzipan	Privat	VB
2188	Rsport 100g Rum Trauben Nuss	Privat	VB
2189	Rsport 100g Nugat	Privat	VB
2190	Rsport 100g Salted Caramel	Privat	VB
2191	Rsport 100g Erdbeer-Joghurt	Privat	VB
2204	Rsport 100g Halbbitter 50%	Privat	VB
2205	Rsport 100g Olympia	Privat	VB
2206	Rsport 100g  Edel Vollmilch 35%	Privat	VB
2207	Rsport 100g Pfefferminz	Privat	VB
2601	Petri Creme Vegan Natur	Privat	VB
2604	Petrella Jubiläum	Privat	VB
2605	Petrella Peppasweet (Kirschpaprika)	Privat	VB
